Dim1,Dim1Type,TimeDimensionValue,Value,SpatialDimType,SpatialDim
BTSX,SEX,2000,300 [233-369],COUNTRY,SWZ
BTSX,SEX,2000,3012 [2245-3779],COUNTRY,RWA
BTSX,SEX,2000,3044 [2508-3581],COUNTRY,AFG
BTSX,SEX,2000,30615 [26653-34577],COUNTRY,IDN
BTSX,SEX,2000,31 [24-40],COUNTRY,LCA
BTSX,SEX,2000,3207 [2544-3868],COUNTRY,BFA
BTSX,SEX,2000,3222 [2508-3937],COUNTRY,NER
BTSX,SEX,2000,325 [274-383],COUNTRY,SVN
BTSX,SEX,2000,33 [25-42],COUNTRY,ISL
BTSX,SEX,2000,332 [254-424],COUNTRY,JAM
BTSX,SEX,2000,339 [270-408],COUNTRY,GMB
BTSX,SEX,2000,34451 [32285-36697],COUNTRY,BRA
BTSX,SEX,2000,345799 [301223-416312],REGION,WPR
BTSX,SEX,2000,3480 [2792-4168],COUNTRY,MWI
BTSX,SEX,2000,3483 [2894-4072],COUNTRY,ZWE
BTSX,SEX,2000,3524 [2975-4072],COUNTRY,SAU
BTSX,SEX,2000,35748 [28417-43080],COUNTRY,NGA
BTSX,SEX,2000,3614 [2940-4288],COUNTRY,SYR
BTSX,SEX,2000,362 [333-389],COUNTRY,NOR
BTSX,SEX,2000,368 [297-439],COUNTRY,GNB
BTSX,SEX,2000,3717 [3129-4306],COUNTRY,NPL
BTSX,SEX,2000,380 [344-416],COUNTRY,MNG
BTSX,SEX,2000,3815 [3028-4603],COUNTRY,YEM
BTSX,SEX,2000,385046 [304450-452121],WORLDBANKINCOMEGROUP,WB_LMI
BTSX,SEX,2000,40 [30-50],COUNTRY,BRB
BTSX,SEX,2000,404 [341-469],COUNTRY,NAM
BTSX,SEX,2000,4058 [3888-4217],COUNTRY,GBR
BTSX,SEX,2000,40792 [39536-41974],COUNTRY,RUS
BTSX,SEX,2000,4110 [3319-4901],COUNTRY,AGO
BTSX,SEX,2000,4178 [3797-4559],COUNTRY,PER
BTSX,SEX,2000,4187 [3480-4894],COUNTRY,CIV
BTSX,SEX,2000,4198 [3402-4994],COUNTRY,MDG
BTSX,SEX,2000,421 [349-500],COUNTRY,FIN
BTSX,SEX,2000,4228 [3637-4868],COUNTRY,ARG
BTSX,SEX,2000,4258 [3459-5056],COUNTRY,CMR
BTSX,SEX,2000,431 [370-497],COUNTRY,IRL
BTSX,SEX,2000,44148 [42551-45671],COUNTRY,USA
BTSX,SEX,2000,449 [413-485],COUNTRY,ALB
BTSX,SEX,2000,468 [397-547],COUNTRY,PAN
BTSX,SEX,2000,475 [409-548],COUNTRY,ISR
BTSX,SEX,2000,476 [414-542],COUNTRY,NZL
BTSX,SEX,2000,4870 [4098-5641],COUNTRY,IRQ
BTSX,SEX,2000,4977 [4197-5756],COUNTRY,GHA
BTSX,SEX,2000,5 [3-7],COUNTRY,MDV
BTSX,SEX,2000,5 [4-7],COUNTRY,GRD
BTSX,SEX,2000,5 [4-7],COUNTRY,VCT
BTSX,SEX,2000,502 [389-636],COUNTRY,PRY
BTSX,SEX,2000,502 [438-566],COUNTRY,ARE
BTSX,SEX,2000,507 [411-604],COUNTRY,OMN
BTSX,SEX,2000,513 [438-597],COUNTRY,DNK
BTSX,SEX,2000,516 [411-639],COUNTRY,GEO
BTSX,SEX,2000,5195 [4481-5909],COUNTRY,PRK
BTSX,SEX,2000,522037 [458247-612144],WORLDBANKINCOMEGROUP,WB_UMI
BTSX,SEX,2000,523 [449-597],COUNTRY,BWA
BTSX,SEX,2000,53 [40-68],COUNTRY,BRN
BTSX,SEX,2000,534 [456-618],COUNTRY,KWT
BTSX,SEX,2000,549 [455-643],COUNTRY,LSO
BTSX,SEX,2000,559 [469-659],COUNTRY,URY
BTSX,SEX,2000,5681 [4971-6391],COUNTRY,TUR
BTSX,SEX,2000,571 [479-673],COUNTRY,MDA
BTSX,SEX,2000,598 [517-687],COUNTRY,SWE
BTSX,SEX,2000,6017 [4768-7264],COUNTRY,MOZ
BTSX,SEX,2000,603 [535-672],COUNTRY,ARM
BTSX,SEX,2000,610 [510-718],COUNTRY,CHE
BTSX,SEX,2000,611 [511-724],COUNTRY,KGZ
BTSX,SEX,2000,6222 [5524-6921],COUNTRY,MYS
BTSX,SEX,2000,6295 [5656-6982],COUNTRY,ESP
BTSX,SEX,2000,663 [504-1009],COUNTRY,AZE
BTSX,SEX,2000,6631 [5850-7467],COUNTRY,VEN
BTSX,SEX,2000,6646 [5806-7551],COUNTRY,UKR
BTSX,SEX,2000,675 [574-787],COUNTRY,HRV
BTSX,SEX,2000,686 [564-809],COUNTRY,MRT
BTSX,SEX,2000,6870 [5951-7789],COUNTRY,MAR
BTSX,SEX,2000,69 [60-78],COUNTRY,BTN
BTSX,SEX,2000,695 [595-806],COUNTRY,LVA
BTSX,SEX,2000,6955 [5760-8150],COUNTRY,SDN
BTSX,SEX,2000,6996 [6170-7822],COUNTRY,DZA
BTSX,SEX,2000,7 [4-10],COUNTRY,KIR
BTSX,SEX,2000,7 [5-9],COUNTRY,ATG
BTSX,SEX,2000,704 [608-808],COUNTRY,CRI
BTSX,SEX,2000,713 [649-776],COUNTRY,BIH
BTSX,SEX,2000,7170 [6782-7562],COUNTRY,POL
BTSX,SEX,2000,718 [579-857],COUNTRY,ERI
BTSX,SEX,2000,727 [647-807],COUNTRY,TKM
BTSX,SEX,2000,73 [59-89],COUNTRY,BLZ
BTSX,SEX,2000,73 [65-82],COUNTRY,SLB
BTSX,SEX,2000,733 [611-856],COUNTRY,LAO
BTSX,SEX,2000,737 [648-855],COUNTRY,LBN
BTSX,SEX,2000,76 [59-96],COUNTRY,BHS
BTSX,SEX,2000,7679 [6373-9090],COUNTRY,PHL
BTSX,SEX,2000,7734 [4546-10990],COUNTRY,EGY
BTSX,SEX,2000,78 [63-95],COUNTRY,LUX
BTSX,SEX,2000,7830 [7013-8705],COUNTRY,DEU
BTSX,SEX,2000,7880 [7016-8784],COUNTRY,FRA
BTSX,SEX,2000,7898 [7492-8301],COUNTRY,ITA
BTSX,SEX,2000,79 [55-109],COUNTRY,FJI
BTSX,SEX,2000,7942 [6945-9038],COUNTRY,COL
BTSX,SEX,2000,798 [620-1008],COUNTRY,GTM
BTSX,SEX,2000,798 [686-925],COUNTRY,LTU
BTSX,SEX,2000,80 [60-102],COUNTRY,BHR
BTSX,SEX,2000,8010 [6081-9939],COUNTRY,UGA
BTSX,SEX,2000,816 [634-970],COUNTRY,SVK
BTSX,SEX,2000,822 [693-952],COUNTRY,COG
BTSX,SEX,2000,828 [749-908],COUNTRY,NIC
BTSX,SEX,2000,8452 [6984-9921],COUNTRY,KEN
BTSX,SEX,2000,87 [62-118],COUNTRY,MNE
BTSX,SEX,2000,87662 [70550-104435],REGION,EMR
BTSX,SEX,2000,9767 [7850-11685],COUNTRY,MMR
BTSX,SEX,2000,98 [81-115],COUNTRY,CPV
BTSX,SEX,2001,10 [7-13],COUNTRY,ATG
BTSX,SEX,2001,10 [7-13],COUNTRY,SYC
BTSX,SEX,2001,102 [85-119],COUNTRY,CPV
BTSX,SEX,2001,1043 [889-1215],COUNTRY,BGR
BTSX,SEX,2001,1043 [913-1173],COUNTRY,PNG
BTSX,SEX,2001,1046 [833-1259],COUNTRY,LBR
BTSX,SEX,2001,1048 [946-1150],COUNTRY,HND
BTSX,SEX,2001,108 [78-145],COUNTRY,MNE
BTSX,SEX,2001,110 [85-144],COUNTRY,MKD
BTSX,SEX,2001,11015 [8897-13134],COUNTRY,TZA
BTSX,SEX,2001,1117 [970-1277],COUNTRY,NLD
BTSX,SEX,2001,113 [80-142],COUNTRY,CYP
BTSX,SEX,2001,113079 [89480-136677],WORLDBANKINCOMEGROUP,WB_LI
BTSX,SEX,2001,1150 [711-1859],COUNTRY,LBY
BTSX,SEX,2001,1187214 [1004660-1373707],REGION,GLOBAL
